Labels,precision,recall,f1-score,support
Delphinus,0.6363636363636364,0.875,0.7368421052631579,8.0
S_attenuata,0.5,0.7894736842105263,0.6122448979591837,19.0
S_bredanensis,0.6,1.0,0.75,6.0
S_clymene,0.6666666666666666,0.8571428571428571,0.75,14.0
S_frontalis,0.8817204301075269,0.8631578947368421,0.8723404255319149,95.0
S_longirostris,0.84,0.875,0.8571428571428571,24.0
T_truncatus,0.8125,0.35135135135135137,0.49056603773584906,37.0
accuracy,0.7684729064039408,0.7684729064039408,0.7684729064039408,0.7684729064039408
macro avg,0.7053215333054043,0.8015893982059396,0.7241623319475661,203.0
weighted avg,0.7956166664258989,0.7684729064039408,0.7592221788005745,203.0
balanced_accuracy,0.8015893982059396,,,
